Transaction Hash,Block Number,Timestamp,Gas Price (Gwei),Gas Used,Number of Inputs,Max Merkle Tree Depth
cba15316c4e0cecb6d548f3409dcf1d2cb0d54c929b7ed872b48c77649d0fa58,10058456,1728626399,0.045039962,872664,12,4
cdb6ddd95d8117c14169ba13651462ed35053f52d05d9ff7a9ffe82bc0a53279,10248964,1729165400,0.043146872,565331,1,1
03cf77b1ce16ee48fb82d367d5c78daa9c3a9cd2e1a6d6b07b0ef537f03150d3,10046555,1728590955,0.045123935,672996,5,3
e677c43f9299a07ab2fc42b853c56aa08b77de73b91c5254e2061421de4ee956,10143175,1728876916,0.041796985,688518,6,3
dfbfa74f593002a4700d2d34823929ab24c64d6dfa1862b8cd4637426e108d7c,10145721,1728884284,0.041097791,673088,5,3
67b73b27b904a771fa247e69d346218c3e50066020634499ded8610f09eabe48,10257720,1729188004,0.046290576,879643,12,4
80e9c352a78e577a9700c76b1728f1ac5364a80ff6784610e4f4e72a4afb7160,10138803,1728864001,0.040723182,872372,12,4
1e81003bc13ce1a50b8f9af5233eb294ed084751d6f4a609f3f64df3e82858a1,10069747,1728659413,0.049128068,551230,1,1
48aad5e30e844ded628bb9562e470bcb0d84d9602b2b4afa7fe58464594b5832,10032536,1728550799,0.041100316,879511,12,4
783ef4d37c96947560db18de407d6f951655e3036dcf2bfd56a3cf6562dbd2c5,10178155,1728976458,0.041163197,544299,1,1
3518256aec877081d5cd248fd184852bcd5202e5a9eb4970e1b004863ed84ef3,10187305,1728999650,0.043740842,551334,1,1
dc5060338c64c0ea857990684d1e3053462117e8a5b204bd3513f4d2b2c87273,10188906,1729003108,0.050010145,551174,1,1
55871bfcc138504d6bd503f165c6e6ab822f46c15aad80d698f82f26213cfe91,10020381,1728514799,0.044270035,862865,12,4
7dbbb7c5deb45f44eab5b6da5ba921926fc6cbca0d634f5d8205e2c0952b2394,10178159,1728976466,0.041163197,701224,6,3
40d40f2df98286b739ca8cbb13af6987e764275f0e16eb6bd6ddbe1b87c1326a,10042738,1728579974,0.043843047,558240,1,1
e8b8805e77cbf40a9a349daad9487d20e488c5062923306d4503958aa6037491,10187586,1729000311,0.044431975,679927,5,3
118d476f254f409dd84664540f8c887663cfc800330a345bc586387cc3cd740e,10022185,1728520202,0.043972245,865725,12,4
902e4391a583dc7d335446469f527c96dbaea5d985021d62ee5eade0303a0eba,10161684,1728928801,0.043749039,879534,12,4
67d59f62f29566fd2fd92b0f388a5448bd850600be3c3c1e4c4e0b01cbf057a0,10220576,1729087769,0.042418743,701328,6,3
59b5aace6b8d4d3e74b59bb2beb01a9916cf69bb397ec14a3a7f27ca7859b1a2,10186430,1728997409,0.044846015,672972,5,3
d0be746fcd4c3f161187ad21410a811b209f94a0be43d9a4bef1ee4dab5000dd,10143174,1728876913,0.041796985,585243,2,1
609956d2c115ade6c7f25a9c88febdd39f800e66a3d60d7076a3037ad175da09,10268133,1729215964,0.041407963,664591,6,3
b2dc14b6e2b5c264c5b69dad1b35e9de325db384e699aa8d9676288f1869d8f2,10191778,1729010045,0.043838478,627918,4,2
057ec66d3015d4c983668a6154fd5605fdca4ee12d795121bee1008776e2fa17,10046680,1728591316,0.043796523,551242,1,1
0d1fa7f4b426d9a9361ee05ef0b32704cd86b1c1294d70e8564f36f756c92457,10188391,1729002053,0.045241528,627998,4,2
b6639dee7e78a34431e14b597df6457c0c45fff7ea930aa32a55251e1a1eb899,10225894,1729101600,0.043037731,886561,12,4
ca174d6da87964a19e31dbef5b8fe5c4e1819e14aa7b6b9d281b9f033a25ad8d,10258272,1729189383,0.044279432,565331,1,1
8fa0756660038ddcbe9b2e99f492403e7293ee210356dc1e5735648cd6dcc9f7,10037190,1728564078,0.041410131,653071,5,3
7f308db29c598c09dfe2983906a5d05273cc0a115dca65786e36a9c4781576a7,10041388,1728576114,0.043867788,551162,1,1
c621a18f2f1ca9c224167aab95fba6e7c22ee709b9108505e2deb9077ca203a5,10189209,1729003756,0.048320489,544175,1,1
08f08b21a74ccd214183d265affc74907e38789980b7cfeb8975e7f850bd9bf2,10188927,1729003159,0.049879193,544219,1,1
8b810b495ecdefaf8f7a5a500783f9f4240c54be41136500922e63a85a2a14bb,10037594,1728565201,0.041578229,879710,12,4
722c53e60471a49f9a6b2711fb6ac542ce2bde413d00d7e911b23bf31c59c4f4,10019179,1728511201,0.042900594,890767,12,4
2a1869aaf8b1481518cca989c778ed088192b49ffe8db424f258d2fb75d0fc28,10017827,1728507268,0.052737038,666042,5,3
46b381f07377a96883df6f959eec8bfe526e8b67aa5225f4fe36796235174a36,10188769,1729002889,0.044520509,544231,1,1
c12347a78f5184dce42503ffd22c44625c3b60a5aaf6eb7691b49f1d9ed33294,10044070,1728583783,0.043472769,544219,1,1
326672c3bdc0f83bef2be51093bbb7d69625ac3fc61df2b43047fc7d0b2601bd,10208840,1729058400,0.040814316,872652,12,4
12f7a9e3f76137180cb76523642bfa7781acdbb4c30fc9e6087c1bb26036f3f5,10050251,1728601950,0.048819194,558172,1,1
c9e8faa5d8028ef43279ab94363a2169fcfe5d409edf6a78f7602beb6703bf92,10287369,1729263760,0.044643103,542538,1,1
a881252d142564ecf75d3a714d63fd1248cf62eae37ce21118b53caa68be1229,10254478,1729179422,0.042689238,701316,6,3
2c982e989493387166a38fc6c0f1d93b14d2443fc05b9bea8247ff45d0ccdf00,10221429,1729089735,0.042655192,558149,1,1
a0c9188f24b0dd17fa07a2265a5bb33ed7594c136f9b1c5af61543cac59fdde9,10017917,1728507470,0.051682453,571074,2,1
f840c1c56c31ac49b9f7d56d8ac7cb4f254112a629364a61d48add4b2726619c,10124071,1728820800,0.040985425,869700,12,4
1837bb30364d6fb190be2d1a8579d9adaa81a23dae425050f546300919ee3df5,10287325,1729263675,0.044971899,653148,5,3
8950e3089dcc71ad3e285c06dd6e862e2d15b64c6fd99061b2c7e74dfaf75c72,10156996,1728915752,0.046266938,551162,1,1
8d8e4985a67ad6a74c75d72cfc8a3f2f7d844f14e7524fb87e4383c43fcea618,10175812,1728969985,0.041044201,551138,1,1
d833232df02e88a557d63bf1d8766976395745b17cc6bae93a45f86b50e5ca02,10189531,1729004529,0.046146257,565227,1,1
9f831967663d4641091b796dc01b97960aaa408873ec30589fd8ba9b53bfd8f9,10017963,1728507601,0.05073539,879498,12,4
feddce56b17e2e542abab9bf2adc127895acf266acc1b8fc898a6b8a4197d5c3,10221424,1729089726,0.042655192,572329,1,1
5d1afae716ea10e547e053b047615b7d0841c15fba96a99b02c8e26f5500c60d,10219890,1729086258,0.042224646,544207,1,1
0ae743916efe38966acdf21d0e27d1d1eb2d06be440e933b04520504823594d0,10296954,1729282731,0.041242664,563569,1,1
bf75269088f9d73e98809e3fd9df6c2b23ebc0e768a7989d9638b90b5b4e7484,10187771,1729000671,0.044549688,660230,5,3
08e052116f7f440de789d58580b780a576efcc9d54878c4470b79400d6a73bc2,10157000,1728915764,0.046266938,565319,1,1
6654f5f30b3243e1d2ae60f27f2ecad99c12e39f90545761122a7bb70498d40d,10143634,1728878189,0.041537011,715773,7,3
cee6b25ee3303de301b02c899ba735a6161ba15fee09e56f192b5a9ed6880054,10187770,1729000670,0.045066606,544231,1,1
bd3a8150c61a4621d61e5c010f2e953a62349a89fd5047873a985704e4cd7c3f,10265604,1729209601,0.041515251,839973,12,4
7fb4d2e8c6c5ea48bed2f030d58d72fd7de2b2978c213e13428c1f0b7ae657f2,10220180,1729086850,0.041911592,558184,1,1
3fd76273acde979912c89d9af09aaeff495405f91f039b55d86b4d2c1067aa2a,10017257,1728505801,0.058299241,867100,12,4
0cf05c9fafbd4186e64b35c5fb576821f5c739800c4794afb6e8b894d619fc24,10254499,1729179466,0.042689238,558252,1,1
31247de9f66024f0171197be1b9ae008ccd5c1fb314ee81f11835dc4130a9d12,10065853,1728648000,0.042393279,865713,12,4
c285aca4ea5ac5cf3a3786ab4dad53071d0c18396195ee5e11fc4a122be3e90c,10156198,1728913577,0.045320924,538407,1,1
695a1bb6b7705cda7d559de25ba6a456623d2b995af4c80490a1b004f14adb95,10027009,1728534602,0.045058395,876734,12,4
b6c6f5f9f787be3a209d73f627c9a2875070984943c38e1e36f56b1c0d8a32d6,10044216,1728584195,0.043266795,551322,1,1
74d39f41809c79ff4583f0b329614675b0bd53d91807a067bd2900d6ee7279bf,10068196,1728654847,0.047813446,558264,1,1
d6d4025bdc8b7545930f16a9d1cfdd7196382126bb5b058f842a2479af46e6bb,10268458,1729216608,0.041642005,542514,1,1
ede3bd9ee806a82e046bc222a6c5fedadb050aace5f0dd11389bb6bd8bb4ba8b,10021583,1728518401,0.042879271,865341,12,4
ed521f6d8e8024d1968ff7c855c358321a8749ce60038c77f6170b2514ac75c9,10176526,1728972000,0.040994929,872488,12,4
49a29891b9d5da88dae2e9eb8692e94e66c7cb457a40f8fe0d71fcb55ff9070e,10233521,1729123201,0.040565523,872596,12,4
292c9d9b5b10272bdb80922a6aefeb846bf56bc6f35b112451f6c9b3eb5dbe05,10143359,1728877422,0.041687439,558240,1,1
f06c1903d50b579c6cf03586954712e4c602d7de7b70e14ccf5cc121391ec85a,10098437,1728744568,0.044736543,545430,1,1
f9b424f27cc3f0aa7575e17fc400c5f8aef23d1259dc7ab05338b7c00e5a6ad9,10136457,1728856991,0.041579771,565331,1,1
f11300d54d2ce4d08ab1f6b4f177e313fd6c4d148fb725c50f9baf97690773d5,10063797,1728641937,0.042444927,544243,1,1
3a40238142d8195ac98659bdb08cef1b64f3b46dcfd0867ccf8be8a29b5b7765,10040131,1728572401,0.043720986,865561,12,4
ead571ce30232f8422c0c55412e6271db099be35358df891569c03475483cd8a,10167847,1728946704,0.041408815,558252,1,1
68a6736d5d79251331f928991587aa96519a93133e77eec9d241448e63a10b66,10189038,1729003355,0.048999277,565159,1,1
4bb1ed7e0e522b06e9f69e0dde05c3c494bf67d91d5dbc206a24390c39be8f80,10042592,1728579577,0.043750691,572181,1,1
218c4445273d23b083d85e5d7545d52147cb5433c2bde094fd81d4ef7c3756f4,10051201,1728604799,0.052694661,886585,12,4
b3f4c487af16868005f4672d02d16c962d346529bf7c45a7a43aac335f159130,10160921,1728926598,0.044084109,558252,1,1
e991d161dfd875ad049c4d16b232e5c34730f771888b91e8d42278d407cd564f,10026405,1728532799,0.040993744,872404,12,4
985d8e9b36a77306d0b00426b64e26de821c7f54397dcc73e3e8dabf095f1f1e,10043680,1728582742,0.041347551,558252,1,1
fc95cc30f5a708807f2db9425379aee4cde665ff7e95bdef8fa50fcf49798eb9,10157436,1728916875,0.046791186,687307,6,3
935f82a62a05956ef7b4f1bce069d3624344f3b509c5eec63687b8a6bbcef622,10183782,1728991154,0.04194723,565239,1,1
d2a2c1d1b2509c4efa56969835cd3dc86014dc527fe5517d0e37f610a99845f4,10017691,1728507017,0.051822237,627918,4,2
7c8ae3d960694b0c6df663313969d99ea33037da2e105f3e368ff400c5634751,10035678,1728559800,0.042027917,886525,12,4
362f669286e16e9f243dfc79e9ee0a2256eee496dcbc3592c6c168677bde58b3,10116717,1728799202,0.040623023,879582,12,4
cd83bc42566e5b4add4214450aea42a2398392e02f5f34f9cc800db756b889c1,10287367,1729263758,0.044643103,535619,1,1
a52ed860825b141c44236d44765136b664c83dbe587f2d02b458459430db3c23,10045877,1728588952,0.046139049,551162,1,1
a84a26ad96cf5d7b4988076e5b0a9ab25c9e4b1510c42f05b8f69dde41815f30,10188908,1729003114,0.050010145,558217,1,1
586abee07a005faeaf4cb6296bf063160e550416eddbb10a41397a9935714639,10167892,1728946826,0.041427172,558216,1,1
79ea715cb3c1406fb4e0acfb05e04d22a29cf61ce2a604eed4f7cb5bf0000556,10073176,1728669600,0.043170397,879638,12,4
1623fcf1f7ea338d09d3f9e7a66d127cb3e0ad72fe2bae55ed7843239bb1eb9f,10282184,1729252801,0.044437625,840123,12,4
4f4126d082539972f73e4ed0c9841b30bf58b8ef262273d539ebfbb661d5e446,10031909,1728549001,0.040898622,865725,12,4
0994b58f30ea50f942075f746b4f2764ba5759c72d43e0ecdd4a5d0ae596b4a1,10175981,1728970432,0.041282575,551138,1,1
efa951a3c1f5dda4fbede50c99de681047da92c9b3497af202df5cdb01ebac7d,10186434,1728997416,0.044418066,558308,1,1
fb3acfa432a0c3f1c96751c7e032a174e87df0c73ff3b0e58393b13819f9a77d,10188629,1729002580,0.045026371,558204,1,1
3fb02b1b729166f5f1cae9b55da0398f03eab26fd0dcdf78fa5bc8462297461c,10191757,1729009996,0.043838202,544243,1,1
7eb363026c849b7439628a1e5004fed3766e2d9081ada43abfe872e0f2dbb8ef,10156198,1728913577,0.045320924,694306,6,3
dfdf06192c0197573269b070ac3f2a3d73d688cbd792302c1435dfb03adb82ac,10187589,1729000315,0.044431975,558160,1,1
8b51c1e0a2e9f242925691482fb7d6effeaa28db515e29cd85e7012941b5d817,10191449,1729009246,0.042410652,565171,1,1
e739a75d30354c114b04ff18cc0fab092b1e0a66c3dd6b9c0b2c179379cc32f8,10068630,1728656109,0.048246885,544243,1,1
2e626937fb63ae982b5bfd119d5fcdbd65d9f44e26195dfccccfd949af58a076,10183964,1728991595,0.041862481,551310,1,1
c813ea8d397c65b08f5942edbd65286d184324c853b20835fe3c7326b84ee554,10188762,1729002879,0.044520509,627918,4,2
01edcc1db7a23dd98e9b131661fb8037d412e44359237c58a55c6d69fa6a0f8b,10191799,1729010094,0.044145139,565263,1,1
b17541495086f2497c9b2c9db91556add545042bb7ac13b32d67e8f6d40a3008,10189712,1729004914,0.046350569,565239,1,1
5919d898a3f4106573c1da41ea933cf8e70807c501ddb8b0c94963e5dd10266c,10220770,1729088234,0.042939426,558229,1,1
8179319f6b99c2c4dd901936691e8e963871c19895791355408f6e78a3fb7488,10017711,1728507040,0.052456191,571130,2,1
9efeae0a575f41b6d432e5f7a488c797582dc8118418787e2f56cdc2f5979409,10191743,1729009961,0.043324245,558228,1,1
1eaaeed44d895d9045ab92e750c335fce617fc8bc258a5879c51684012c595d0,10201367,1729036802,0.041277005,872596,12,4
ff8b5d361055ed609fbdb4c99aaae7f9064182173ba00d4a3f706fa0d1fac0ca,10046568,1728590993,0.044789128,551254,1,1
5b99d5f62a17d41e59867d0eb6fa8c654aa7e92d3e484a8fb87f10b2303f1934,10190260,1729006265,0.044904821,538419,1,1
31a21dad47152998274aa5ed803291362536df05b102c3aae984c3911459b99f,10024599,1728527400,0.041725438,865373,12,4
c3b30bdeb003ca189de7ec9b0e0b885aacb613ddcaa91316b8aa74cbfedb72f8,10046467,1728590691,0.045981038,572273,1,1
135cf763ec2725b0064655b7740f279a9e3f1f8f60aae5de8ee85691eae511fe,10310596,1729317602,0.040979892,833228,12,4
f1a679ec01f37f824ef42369a7704cb6c98467aa433d5a27c363d6a5ec809929,10102282,1728756001,0.049291765,865549,12,4
ac0800321b04837a908b7a8b794957db089e805f3bb06f59c74de9b0d88115cd,10036297,1728561601,0.041349346,869820,12,4
93a8f6a0218e52719f5e90c552ac64c8e353cac9d902c56685ee68e94fca4e76,10136517,1728857165,0.042533958,558252,1,1
26e864b4de6914a3035f185f5e10abed6d86d091830a743567481576f13861a0,10173489,1728963331,0.041694172,544311,1,1
4dfd5c75ab5cd60c345370a2fb376484ad6f37795c57978341522ac07057be18,10219779,1729086030,0.042274473,551254,1,1
d3b255b4b349d5eae167241e3ef7ced8e3505c39809303a9307b3a2e109b3811,10317847,1729339199,0.040565463,833028,12,4
7813876b86e339807e756c37daa041ae45c2a9fe40aa5b1799c19c68437530da,10029431,1728541802,0.040842636,865457,12,4
efbc1865f5f2b9b7b47a7fd9b5523ecbe35826f971ec856f2a8ad5176bd3de8e,10020981,1728516599,0.044900385,879570,12,4
5cc728245789dd21042702ec264d9df3d1cd6d23d1259577c4e0a20bd482e58a,10188751,1729002862,0.044520509,572261,1,1
0f198b2914dfd46f04fa9a965c956e1d9a4451ca53d5f7e284d003a6f1004217,10144793,1728881539,0.043380386,701248,6,3
6e6b26f8f19c3112e29e25ba1ec0c52d80f2e0f7dd4052fc87375c1033122bf4,10190273,1729006288,0.044546871,558264,1,1
a117d2d1525e479a9d5722ffadb000c7d2f69fdbd9596089d826e3c0432ff98d,10034419,1728556201,0.040793943,893615,12,4
143a4009488f409aff8f7be0e53effe64eccee51e24c5ba444ee851c8dcdd429,10217232,1729080000,0.041951006,886389,12,4
92c9138e0a4c6a33d23f22f6eee68ff9d4b4a40cdbf845f157ebc23c1ff6f4a3,10168731,1728949324,0.041540307,686981,5,3
